taskInfos_1,taskInfos_2,taskInfos_3,taskInfos_4,score_1,score_2,score_3,score_4,score_5,score_6,score_7,score_8,score_9,score_10,score_11,score_12,score_13,score_14,score_15,score_16,score_17,score_18,score_19,score_20,score_21,score_22,score_23,score_24,score_25,score_26,score_27,score_28,score_29,score_30,score_31,score_32
"1","Oxidative phosphorylation via NADH-coenzyme Q oxidoreductase (COMPLEX I)","ENERGY METABOLISM","OXYDATIVE PHOSPHORYLATION",3.31385819103094,2.8457709731505,3.35756638064274,3.17281970107366,2.73659640542635,3.02438129945028,2.82697283158655,2.10076599369014,2.70525555723737,3.22448290936633,2.46765263763219,4.28921625972045,3.27472200433148,4.1853832803021,2.64680707797738,2.63070259285758,2.23733698012991,2.11736831482634,2.63316543948296,2.96429827655428,2.50635032750307,2.59094621420601,3.74546757412426,2.79741448721727,2.69696870339783,2.52145847668497,2.98978810838579,2.7807377655334,2.7721660132435,2.55607926407447,2.45048081376446,2.92194912747449
"2","Oxidative phosphorylation via succinate-coenzyme Q oxidoreductase (COMPLEX II)","ENERGY METABOLISM","OXYDATIVE PHOSPHORYLATION",5.59241737601627,7.00593256595406,4.36000546044279,4.17307970806339,4.90604637596522,7.49457418656193,8.90012405038404,3.99226581201839,5.57956119122446,5.24521981904716,5.02909663472559,12.0449556920696,8.34400706552246,7.63525340470089,4.2856983514705,5.1250935145934,5.12310541971764,3.26288570341232,4.17708952189238,4.59653056294465,6.88648303903551,4.98043525568941,9.80497807658637,3.78840030502433,7.87667924879979,4.47682334840952,5.08577252989267,6.0574472631037,5.06716325094213,4.31772531147394,4.61844567097435,5.35442415865181
"3","Krebs cycle - oxidative decarboxylation of pyruvate","ENERGY METABOLISM","KREBS CYCLE",1.2068747998668,1.28485270835602,0.855267496667042,0.368972695661241,1.31906252196013,1.19307722475102,1.16684968497332,0.903740879881392,1.092501092054,0.818159968545434,0.869455215069018,2.48904245114402,1.20942478772915,1.0556920611931,0.822398594778187,0.859906734229181,0.765865707249976,0.753414876546833,1.37518236120137,1.11999925703317,1.23521840396833,1.02231475992585,2.28206410134926,0.72925260338288,0.959895323336217,1.02560634314454,0.699934579640878,1.15399826052748,1.46783829862399,0.986827536399417,0.982799440376734,1.08342077110944
"4","Krebs cycle - NADH generation","ENERGY METABOLISM","KREBS CYCLE",3.31068608602731,3.3279978488565,2.55519707941498,2.25697926603304,2.83093665846244,3.78251687924516,4.08080234208602,2.30454004802045,3.0954058545698,3.42148558300856,2.42739285956148,5.99868041147556,4.03404089206598,2.92422564852543,2.25140619027245,2.74168125129592,2.23395713667935,1.82578105644508,2.33371158367576,2.62156934498515,3.86548446977434,2.67819989675998,5.1595899310366,2.32093884764844,3.78360061369356,2.78536849951839,2.32933861172447,2.81816403324955,2.81005299321698,2.64612275437629,2.94517138160543,2.84162622782673
"5","ATP regeneration from glucose (normoxic conditions) - glycolysis + krebs cycle","ENERGY METABOLISM","ATP GENERATION",3.78241365092279,4.00014409231457,3.7597005310968,3.69513460583242,3.77700675438428,4.43386659868997,4.42372780942782,3.05507364126308,4.34256298706989,3.65331309829936,3.64716338814268,5.82757533492946,4.48152439140022,3.5184545733255,3.40413254057281,3.85286037149713,3.07521646772657,2.64788203805967,3.81660770450742,3.35637742560035,4.4077676708642,3.32911686769476,5.91185600215103,3.31553468264713,4.22066881283117,3.80255252530498,3.03341414488055,3.61682123805873,3.76311683110573,3.56892904033825,4.20464304897605,3.94127381916297
"6","ATP generation from glucose (hypoxic conditions) - glycolysis","ENERGY METABOLISM","ATP GENERATION",6.42719188333543,7.02988677078338,7.17724179615054,7.66665110398161,7.35619031124545,7.01541599801083,7.34212969570527,5.61392682449149,8.10756978252403,6.528804548751,6.88052590019763,9.05182312554652,7.47384368688311,5.87399203733866,5.88401476772535,6.88798980865818,5.70423292319155,3.69387757901435,6.7745821232918,5.96094398376764,7.10131120321298,6.02727577280721,11.7462435982252,6.39708846903009,7.15485080126464,7.10928873610478,5.7965391642263,5.90459750911363,7.41352909449444,6.05941788190396,7.87844518628525,7.04504513237177
"8","Reactive oxygen species detoxification (H2O2 to H2O)","ENERGY METABOLISM","OXIDATIVE PHOSPHORYLATION & ROS DETOXIFICATION",2.687057415911,1.99514326669535,1.35385909350141,2.80608656948551,0.899615316624046,1.68372689806833,2.1082731426255,1.44984068495905,1.13215246006964,1.90354695696295,1.53735203034888,1.22757758174987,2.731831422058,3.56446820390017,2.26368752042763,1.41569179277252,1.25018524569673,1.17222179897647,1.44824720385245,1.37009497149025,1.6168541023233,1.48388576966878,1.08964936283233,1.51858365071653,2.09375923309879,1.41797451230237,1.62295376555146,1.47990794874418,0.574720278925873,2.15591000043983,1.41736778279085,1.97283952677446
"9","Presence of the thioredoxin system through the thioredoxin reductase activity","ENERGY METABOLISM","REDOX METABOLISM",1.8279211855173,2.35622990313016,1.69356170474357,1.61411527369101,1.87153188916126,1.83687128634521,1.89208409748865,1.50120827144786,1.37654811468346,1.60556219227153,2.08949615917548,1.76125931983978,1.47026210343507,1.29278245447958,1.7708625114685,1.53210141655971,1.41689019532229,0.701636604431014,1.55990169982303,1.57214218107588,1.74776888079576,1.21723772710985,1.55916625607979,0.839582204781484,1.63100012100932,1.90643896556319,1.25113808494844,1.74342263911378,1.83403948240421,1.39649991557613,1.55278357403776,2.03096380708968
"10","Inosine monophosphate synthesis (IMP)","NUCLEOTIDE METABOLISM","IMP SYNTHESIS / PURINE METABOLISM",2.28992076642189,2.56172790411295,2.71470236216461,2.8891783923632,2.01528338339598,2.6285778890031,2.38948210625406,2.38191272852878,2.53550619958968,2.74511876301241,2.24126080392005,1.61295827183469,2.12694988509903,1.88767893867712,1.927669551006,3.13870467586275,2.71749521394046,1.51745364588167,2.56140829736874,2.11833613114445,2.81132996976746,1.88126275085241,1.45950746542554,2.16077343955338,2.32170983535269,2.5580623734922,2.4214274214422,2.27354869393543,3.2782178979178,2.56479308791709,3.36034794723993,2.45429047193175
"11","Cytidine triphosphate synthesis (CTP)","NUCLEOTIDE METABOLISM","UMP SYNTHESIS",1.92330098405116,1.90923850820618,2.07992811548378,2.32520507987508,1.40270506665444,2.10011588064446,1.99813269067706,1.96883701528116,2.10834004293055,2.29465132952983,1.90357961911099,1.37934177531815,1.71741329539382,2.15562112889616,1.7699334101585,2.22598368052862,2.30071995296096,1.19317199615797,1.8267438909998,1.7923548463264,2.10756574753277,1.69484422338931,1.02083954647405,1.80227337895756,1.91473245470804,2.15086038079759,2.01782265041853,1.93057946730045,2.68276006945843,2.00409004008968,2.38827354103113,1.91278300869553
